Time,frame_id,x,y,z,ag_id,data_label,map_name,Time_delta,x_delta,y_delta,z_delta,x_speed,y_speed,z_speed,2D_speed,3D_speed,tracklet_id
0.01,1,-3.926,-0.455969,1.731579,Helmet_3,Visitors-Alone,3009_map.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41,41,-3.858964,-0.47579000000000005,1.737847,Helmet_3,Visitors-Alone,3009_map.png,0.39999999999999997,0.06703600000000032,-0.019821000000000033,0.00626799999999994,0.16759000000000082,-0.04955250000000009,0.01566999999999985,0.17476229100195007,0.17546340717155323,0.0
0.81,81,-3.6660848333333327,-0.5035656666666666,1.7412836666666667,Helmet_3,Visitors-Alone,3009_map.png,0.4000000000000001,0.19287916666666716,-0.027775666666666532,0.0034366666666667545,0.4821979166666678,-0.06943916666666632,0.008591666666666884,0.48717207299375825,0.48724782753866314,0.0
1.21,121,-3.373959833333333,-0.4851326666666666,1.7254206666666667,Helmet_3,Visitors-Alone,3009_map.png,0.3999999999999999,0.2921249999999995,0.018432999999999977,-0.01586299999999996,0.7303124999999989,0.04608249999999995,-0.03965749999999991,0.731764951649434,0.7328387692860883,0.0
1.61,161,-3.0272115,-0.463519,1.706509,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000013,0.3467483333333332,0.021613666666666587,-0.01891166666666666,0.8668708333333327,0.054034166666666446,-0.047279166666666636,0.8685532412301434,0.869839095725228,0.0
2.01,201,-2.6590814999999997,-0.512178,1.7146880000000002,Helmet_3,Visitors-Alone,3009_map.png,0.3999999999999997,0.3681300000000003,-0.04865900000000001,0.008179000000000158,0.9203250000000014,-0.12164750000000012,0.020447500000000413,0.9283298012459003,0.9285549634445462,0.0
2.41,241,-2.2752160000000003,-0.5697045000000001,1.7251880000000002,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.3838654999999993,-0.057526500000000036,0.010499999999999954,0.9596637499999974,-0.14381624999999995,0.02624999999999986,0.9703801455244846,0.9707351283064398,0.0
2.81,281,-1.8848179999999999,-0.6378795,1.7160065,Helmet_3,Visitors-Alone,3009_map.png,0.3999999999999999,0.39039800000000047,-0.06817499999999999,-0.009181500000000176,0.9759950000000014,-0.1704375,-0.022953750000000443,0.99076494761939,0.9910308048039249,0.0
3.21,321,-1.4677215000000001,-0.747556,1.715664,Helmet_3,Visitors-Alone,3009_map.png,0.3999999999999999,0.41709649999999976,-0.10967649999999995,-0.0003424999999999123,1.0427412499999997,-0.27419124999999994,-0.000856249999999781,1.0781883676000794,1.0781887075981582,0.0
3.61,361,-1.0280785000000001,-0.8344199999999999,1.7266329999999999,Helmet_3,Visitors-Alone,3009_map.png,0.3999999999999999,0.439643,-0.08686399999999994,0.010968999999999784,1.0991075000000003,-0.2171599999999999,0.027422499999999468,1.1203551946397403,1.1206907493427885,0.0
4.01,401,-0.5993025,-0.913832,1.731424,Helmet_3,Visitors-Alone,3009_map.png,0.3999999999999999,0.42877600000000016,-0.07941200000000004,0.004791000000000212,1.0719400000000006,-0.19853000000000015,0.011977500000000533,1.0901694934733779,1.0902352888281739,0.0
4.41,441,-0.14136,-0.9799009999999999,1.7225745000000001,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.4579424999999999,-0.06606899999999993,-0.008849499999999955,1.1448562499999988,-0.1651724999999997,-0.022123749999999866,1.156709897908853,1.1569214529233918,0.0
4.81,481,0.3156315,-1.018395,1.7167364999999999,Helmet_3,Visitors-Alone,3009_map.png,0.39999999999999947,0.4569915,-0.03849400000000003,-0.005838000000000232,1.1424787500000015,-0.0962350000000002,-0.014595000000000599,1.146524692026546,1.1466175837878843,0.0
5.21,521,0.729638,-1.0761129999999999,1.7201844999999998,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.4140065,-0.057717999999999936,0.0034479999999998956,1.035016249999999,-0.1442949999999997,0.008619999999999732,1.045026164643288,1.0450617154929467,0.0
5.61,561,1.180184,-1.1115605,1.7272165,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.4505459999999999,-0.035447500000000076,0.007032000000000149,1.1263649999999987,-0.08861875000000011,0.017580000000000356,1.1298457399470778,1.1299825009603288,0.0
6.01,601,1.655583,-1.1761815,1.723039,Helmet_3,Visitors-Alone,3009_map.png,0.39999999999999947,0.4753990000000001,-0.06462100000000004,-0.004177499999999945,1.188497500000002,-0.16155250000000032,-0.010443749999999877,1.1994271623414672,1.1994726298155232,0.0
6.41,641,2.1254439999999994,-1.2872435,1.7045530000000002,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.4698609999999994,-0.111062,-0.01848599999999978,1.1746524999999974,-0.27765499999999976,-0.04621499999999941,1.2070214558081576,1.2079058825116484,0.0
6.81,681,2.624199,-1.394796,1.6962835,Helmet_3,Visitors-Alone,3009_map.png,0.39999999999999947,0.4987550000000005,-0.10755249999999994,-0.008269500000000152,1.2468875000000028,-0.2688812500000002,-0.020673750000000407,1.2755491226361373,1.27571664886717,0.0
7.21,721,3.1422805,-1.5273249999999998,1.7058209999999998,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.5180815000000001,-0.1325289999999999,0.009537499999999755,1.295203749999999,-0.33132249999999946,0.023843749999999365,1.3369096278433745,1.3371222372821314,0.0
7.61,761,3.6656554999999997,-1.6494449999999998,1.723592,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.5233749999999997,-0.12212,0.017771000000000203,1.3084374999999981,-0.30529999999999974,0.04442750000000047,1.343583559517697,1.344317888061635,0.0
8.01,801,4.174842499999999,-1.758736,1.7325735,Helmet_3,Visitors-Alone,3009_map.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.41,841,4.665525499999999,-1.863123,1.7241495,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.49068300000000065,-0.10438700000000001,-0.008423999999999987,1.2267075000000005,-0.2609674999999998,-0.02105999999999995,1.254159211030442,1.254336019658409,1.0
8.81,881,5.160694,-1.952279,1.7104425,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.495168500000001,-0.08915600000000001,-0.013706999999999914,1.2379212500000014,-0.22288999999999984,-0.034267499999999756,1.2578270840229058,1.2582937792335367,1.0
9.21,921,5.6549105,-2.0116495,1.709173,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.4942164999999994,-0.05937049999999977,-0.0012695000000000345,1.2355412499999974,-0.1484262499999993,-0.0031737500000000836,1.2444245787273003,1.2444286258478952,1.0
9.61,961,6.108717499999999,-2.0544405,1.6668634999999998,Helmet_3,Visitors-Alone,3009_map.png,0.3999999999999986,0.4538069999999994,-0.042791000000000246,-0.04230950000000022,1.1345175000000025,-0.10697750000000099,-0.10577375000000093,1.1395499740303214,1.144448438987781,1.0
10.01,1001,6.355018,-2.1062655,1.625288,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.24630050000000114,-0.05182500000000001,-0.041575499999999765,0.6157512500000023,-0.1295624999999999,-0.10393874999999932,0.629234489902465,0.637761167706515,1.0
10.41,1041,6.3748735,-2.1410255,1.6517624999999998,Helmet_3,Visitors-Alone,3009_map.png,0.40000000000000036,0.01985549999999936,-0.0347599999999999,0.026474499999999734,0.04963874999999836,-0.08689999999999967,0.06618624999999928,0.10007804705110047,0.1199843122688324,1.0
